from,to,value,type,lng1,lat1,lng2,lat2
拉萨,海西,6.91,move_out,91.111891,29.662557,97.342625,37.373799
拉萨,成都,4.79,move_out,91.111891,29.662557,104.067923,30.679943
拉萨,重庆,2.41,move_out,91.111891,29.662557,106.530635,29.544606
拉萨,北京,2.05,move_out,91.111891,29.662557,116.395645,39.929986
拉萨,西宁,1.7,move_out,91.111891,29.662557,101.767921,36.640739
拉萨,上海,1.06,move_out,91.111891,29.662557,121.487899,31.249162
拉萨,西安,1.05,move_out,91.111891,29.662557,108.953098,34.2778
拉萨,昆明,0.62,move_out,91.111891,29.662557,102.714601,25.049153
拉萨,郑州,0.6,move_out,91.111891,29.662557,113.649644,34.75661
拉萨,兰州,0.55,move_out,91.111891,29.662557,103.823305,36.064226
拉萨,成都,4.27,move_in,91.111891,29.662557,104.067923,30.679943
拉萨,海西,2.61,move_in,91.111891,29.662557,97.342625,37.373799
拉萨,重庆,1.72,move_in,91.111891,29.662557,106.530635,29.544606
拉萨,西宁,0.96,move_in,91.111891,29.662557,101.767921,36.640739
拉萨,北京,0.69,move_in,91.111891,29.662557,116.395645,39.929986
拉萨,西安,0.58,move_in,91.111891,29.662557,108.953098,34.2778
拉萨,绵阳,0.55,move_in,91.111891,29.662557,104.705519,31.504701
拉萨,临夏,0.45,move_in,91.111891,29.662557,103.215249,35.598514
拉萨,遂宁,0.4,move_in,91.111891,29.662557,105.564888,30.557491
拉萨,兰州,0.4,move_in,91.111891,29.662557,103.823305,36.064226
那曲,海西,12.43,move_out,92.067018,31.48068,97.342625,37.373799
那曲,玉树,2.36,move_out,92.067018,31.48068,97.013316,33.00624
那曲,成都,1.26,move_out,92.067018,31.48068,104.067923,30.679943
那曲,西宁,0.74,move_out,92.067018,31.48068,101.767921,36.640739
那曲,兰州,0.51,move_out,92.067018,31.48068,103.823305,36.064226
那曲,重庆,0.46,move_out,92.067018,31.48068,106.530635,29.544606
那曲,眉山,0.4,move_out,92.067018,31.48068,103.84143,30.061115
那曲,遂宁,0.34,move_out,92.067018,31.48068,105.564888,30.557491
那曲,巴中,0.28,move_out,92.067018,31.48068,106.757916,31.869189
那曲,雅安,0.28,move_out,92.067018,31.48068,103.009356,29.999716
那曲,海西,18.58,move_in,92.067018,31.48068,97.342625,37.373799
那曲,临夏,0.78,move_in,92.067018,31.48068,103.215249,35.598514
那曲,玉树,0.73,move_in,92.067018,31.48068,97.013316,33.00624
那曲,成都,0.61,move_in,92.067018,31.48068,104.067923,30.679943
那曲,西宁,0.56,move_in,92.067018,31.48068,101.767921,36.640739
那曲,兰州,0.22,move_in,92.067018,31.48068,103.823305,36.064226
那曲,重庆,0.16,move_in,92.067018,31.48068,106.530635,29.544606
那曲,遂宁,0.16,move_in,92.067018,31.48068,105.564888,30.557491
那曲,北京,0.16,move_in,92.067018,31.48068,116.395645,39.929986
