"Index","Id","Time","Lon","Lat","If_empty","Speed"
"16","10002","2015-04-03 06:00:15","121.515688","31.303525","0","70.9"
"51","10002","2015-04-03 06:00:15","121.515688","31.303525","0","70.9"
"41","10002","2015-04-03 06:01:05","121.505657","31.300433","0","79.9"
"6","10002","2015-04-03 06:01:05","121.505657","31.300433","0","79.9"
"2","10002","2015-04-03 06:01:16","121.504128","31.299915","0","80.9"
"37","10002","2015-04-03 06:01:16","121.504128","31.299915","0","80.9"
"30","10002","2015-04-03 06:02:35","121.486093","31.294905","0","81.3"
"65","10002","2015-04-03 06:02:35","121.486093","31.294905","0","81.3"
"0","10002","2015-04-03 06:03:06","121.479502","31.292778","0","81.6"
"6","10002","2015-04-03 06:03:06","121.479502","31.292778","0","81.6"
"26","10002","2015-04-03 06:03:15","121.477287","31.292207","0","78.4"
"61","10002","2015-04-03 06:03:15","121.477287","31.292207","0","78.4"
"33","10002","2015-04-03 06:04:35","121.459458","31.295608","0","77.4"
"68","10002","2015-04-03 06:04:35","121.459458","31.295608","0","77.4"
"5","10002","2015-04-03 06:05:26","121.449632","31.295708","0","63.6"
"40","10002","2015-04-03 06:05:26","121.449632","31.295708","0","63.6"
"8","10002","2015-04-03 06:05:35","121.448022","31.295408","0","55.7"
"2","10002","2015-04-03 06:05:35","121.448022","31.295408","0","55.7"
"1","10002","2015-04-03 06:05:54","121.445373","31.296862","0","55.9"
"36","10002","2015-04-03 06:05:54","121.445373","31.296862","0","55.9"
"21","10002","2015-04-03 06:06:04","121.444988","31.298317","0","60.9"
"56","10002","2015-04-03 06:06:04","121.444988","31.298317","0","60.9"
"24","10002","2015-04-03 06:06:26","121.444342","31.301253","0","66.8"
"59","10002","2015-04-03 06:06:26","121.444342","31.301253","0","66.8"
"54","10002","2015-04-03 06:06:34","121.444223","31.303003","0","72.6"
"19","10002","2015-04-03 06:06:34","121.444223","31.303003","0","72.6"
"57","10002","2015-04-03 06:07:15","121.444135","31.310647","0","78.2"
"22","10002","2015-04-03 06:07:15","121.444135","31.310647","0","78.2"
"48","10002","2015-04-03 06:07:25","121.44406","31.312612","0","78.8"
"13","10002","2015-04-03 06:07:25","121.44406","31.312612","0","78.8"
"8","10002","2015-04-03 06:08:05","121.442905","31.320117","0","75.9"
"43","10002","2015-04-03 06:08:05","121.442905","31.320117","0","75.9"
"9","10002","2015-04-03 06:09:07","121.439137","31.328892","0","19.1"
"44","10002","2015-04-03 06:09:07","121.439137","31.328892","0","19.1"
"52","10002","2015-04-03 06:09:13","121.439242","31.329023","0","26.2"
"17","10002","2015-04-03 06:09:13","121.439242","31.329023","0","26.2"
"4","10002","2015-04-03 06:11:30","121.45049","31.332817","0","0.0"
"39","10002","2015-04-03 06:11:30","121.45049","31.332817","0","0.0"
"10","10002","2015-04-03 06:12:56","121.45541","31.333518","0","25.3"
"45","10002","2015-04-03 06:12:56","121.45541","31.333518","0","25.3"
"27","10002","2015-04-03 06:13:32","121.454913","31.33454","0","13.6"
"62","10002","2015-04-03 06:13:32","121.454913","31.33454","0","13.6"
"3","10002","2015-04-03 06:13:42","121.454417","31.334517","0","11.8"
"38","10002","2015-04-03 06:13:42","121.454417","31.334517","0","11.8"
"11","10002","2015-04-03 06:25:01","121.463713","31.31807","0","0.0"
"5","10002","2015-04-03 06:25:01","121.463713","31.31807","0","0.0"
"23","10002","2015-04-03 06:25:10","121.463703","31.318067","0","0.0"
"58","10002","2015-04-03 06:25:10","121.463703","31.318067","0","0.0"
"60","10002","2015-04-03 06:25:50","121.463615","31.315925","0","0.0"
"25","10002","2015-04-03 06:25:50","121.463615","31.315925","0","0.0"
"46","10002","2015-04-03 06:26:01","121.463603","31.315917","0","0.0"
"11","10002","2015-04-03 06:26:01","121.463603","31.315917","0","0.0"
